上櫃股票每日收盤行情(不含定價) 
產業類別:所有證券(不含權證、牛熊證) 
資料日期:105/10/07
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後賣價,發行股數 ,次日漲停價 ,次日跌停價
"3206","志豐","23.85","+ 0.85 ","23.90","24.20","23.35","1,175,000","27,933,050","641","23.80","23.85","44,924,482","26.20","21.50"
"3207","耀勝","12.60","0.00 ","12.45","12.60","12.40","66,000","824,800","24","12.35","12.60","38,259,225","13.85","11.35"
"3211","順達","42.15","- 0.35 ","42.50","42.60","42.15","119,000","5,038,250","93","42.15","42.20","151,968,521","46.35","37.95"
"3213","茂訊","35.30","+ 0.30 ","35.85","35.85","35.10","57,000","2,014,500","43","35.30","35.40","58,685,547","38.80","31.80"
"3217","優群","18.70","- 0.10 ","18.90","19.20","18.65","492,000","9,253,950","236","18.70","18.80","82,104,203","20.55","16.85"
"3218","大學光","23.75","- 0.40 ","24.30","24.30","23.65","158,000","3,770,450","85","23.75","23.95","66,123,000","26.10","21.40"
"3219","倚強","15.35","- 0.50 ","15.55","15.55","15.15","19,000","292,150","16","15.35","15.65","23,300,417","16.85","13.85"
"3221","台嘉碩","28.80","- 0.90 ","29.70","30.10","28.60","1,118,000","32,712,700","546","28.75","28.80","87,358,810","31.65","25.95"
"3224","三顧","30.00","- 0.50 ","30.50","30.50","29.65","39,000","1,170,250","23","29.70","30.00","40,000,000","33.00","27.00"
"3226","至寶電","64.90","- 1.20 ","66.00","66.10","64.90","4,000","263,000","4","64.90","65.70","64,430,573","71.30","58.50"
"3227","原相","70.80","- 0.70 ","71.50","71.90","70.70","429,000","30,494,700","322","70.70","70.80","133,138,144","77.80","63.80"
"3228","金麗科","18.50","- 0.15 ","18.50","18.80","18.50","31,000","576,100","24","18.55","18.80","62,792,705","20.35","16.65"
"3230","錦明","5.66","0.00 ","5.66","5.66","5.61","15,000","84,700","5","5.55","5.66","107,746,524","6.22","5.10"
"3232","昱捷","21.30","+ 0.20 ","21.20","21.30","20.40","115,000","2,397,050","73","20.50","21.30","31,567,865","23.40","19.20"
"3234","光環","64.20","+ 0.40 ","65.20","66.30","64.20","3,050,000","199,451,800","2,011","64.20","64.50","72,678,262","70.60","57.80"
"3236","千如","26.00","- 0.85 ","26.95","26.95","26.00","2,198,000","57,905,650","953","26.00","26.10","63,096,487","28.60","23.40"
"3252","海灣"," ----","--- ","----","----","----","0","0","0","21.40","21.85","21,708,478","24.00","19.70"
"3259","鑫創","28.90","- 0.50 ","29.40","29.40","28.50","91,000","2,626,050","79","28.80","28.90","80,859,553","31.75","26.05"
"3260","威剛","50.70","- 0.20 ","51.30","51.50","50.60","2,536,000","129,195,900","1,690","50.70","50.80","229,973,374","55.70","45.65"
"3264","欣銓","24.50","- 0.40 ","24.85","25.00","24.45","1,593,000","39,280,650","819","24.45","24.50","485,699,111","26.95","22.05"
"3265","台星科","25.50","- 0.10 ","25.50","25.65","25.05","484,000","12,264,250","236","25.45","25.50","136,261,659","28.05","22.95"
"3268","海德威","12.95","+ 0.35 ","12.65","13.10","12.65","18,000","229,800","9","12.65","12.95","33,426,272","14.20","11.70"
"3272","東碩","53.70","+ 0.10 ","56.00","57.00","53.70","1,647,000","91,120,100","1,256","53.70","53.80","52,264,966","59.00","48.35"
"3276","宇環","17.75","+ 0.25 ","17.45","17.90","17.20","3,099,000","54,533,250","1,124","17.70","17.75","69,712,666","19.50","16.00"
"3284","太普高","18.25","- 0.90 ","19.50","19.85","18.00","2,649,000","50,624,550","1,006","18.20","18.25","54,663,790","20.05","16.45"
"3285","微端","24.55","- 0.45 ","25.00","25.10","24.55","119,000","2,936,100","77","24.55","24.60","44,109,324","27.00","22.10"
"3287","廣寰科","6.53","- 0.13 ","6.61","6.61","6.53","19,000","124,830","11","6.52","6.55","43,970,483","7.18","5.88"
"3288","點晶","7.00","0.00 ","6.90","7.00","6.85","5,000","34,550","3","6.50","7.00","48,475,148","7.70","6.30"
"3289","宜特","96.00","- 0.10 ","96.20","96.90","95.20","418,000","40,176,100","339","96.00","96.20","51,778,312","105.50","86.40"
"3290","東浦","12.95","- 0.15 ","13.05","13.20","12.65","330,000","4,271,250","119","12.90","12.95","99,548,926","14.20","11.70"
"3293","鈊象","216.00","+ 4.00 ","214.50","220.50","214.00","2,536,000","550,160,500","2,042","216.00","216.50","69,666,890","237.50","194.50"
"3294","英濟","17.45","- 0.20 ","17.65","17.80","17.45","146,000","2,557,450","52","17.45","17.60","130,234,419","19.15","15.75"
"3297","杭特","18.20","- 0.10 ","18.15","18.20","18.10","58,000","1,051,300","21","18.15","18.20","36,555,245","20.00","16.40"
"3299","帛漢","47.70","- 0.30 ","48.00","48.00","47.60","210,000","10,021,900","104","47.70","47.80","60,627,518","52.40","42.95"
"3303","岱稜","20.90","- 0.10 ","21.00","21.00","20.70","104,000","2,168,050","60","20.75","20.90","97,361,607","22.95","18.85"
"3306","鼎天","26.50","- 0.30 ","26.80","26.80","26.45","170,000","4,516,400","112","26.50","26.70","50,607,702","29.15","23.85"
"3313","斐成","15.30","- 0.30 ","15.60","15.70","15.20","662,000","10,170,700","264","15.30","15.35","83,770,776","16.80","13.80"
"3317","尼克森","16.70","- 0.35 ","17.20","17.35","16.70","939,000","16,071,300","361","16.70","16.85","61,251,550","18.35","15.05"
"3322","建舜電","8.05","- 0.20 ","8.25","8.25","8.01","95,000","763,520","32","8.05","8.17","86,415,616","8.85","7.25"
"3323","加百裕","18.25","- 0.30 ","18.55","18.55","18.10","81,000","1,480,150","45","18.25","18.30","86,799,914","20.05","16.45"
"3324","雙鴻","107.00","- 2.00 ","109.00","110.00","106.50","3,354,000","362,814,000","2,136","107.00","107.50","77,624,875","117.50","96.30"
"3325","旭品","24.00","+ 0.45 ","24.00","24.90","23.70","1,565,000","38,017,700","713","24.00","24.15","77,134,579","26.40","21.60"
"3332","幸康","36.65","0.00 ","36.70","36.70","36.65","2,000","73,350","2","35.60","37.35","48,104,246","40.30","33.00"
